CHEMBL98975.mol2,OC(CNCCOc1ccc(-n2ccnc2)cc1)COc1ccccc1
CHEMBL13132.mol2,O=C(Nc1ccc(S(=O)(=O)[N-]c2ccc(CC[NH2+]CC(O)COc3ccc(O)cc3)cc2)cc1)OCc1ccccc1
CHEMBL343755.mol2,CC1CC(C)N1C(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1
CHEMBL1089052.mol2,CNc1nc(CC(=O)Nc2ccc(CC[NH2+]CC(O)c3cccnc3)cc2)cs1
CHEMBL467301.mol2,O=C(Cc1cn(Cc2ccccc2)c[nH+]1)Nc1ccc(CC[NH2+]CC(O)COc2ccccc2)cc1
CHEMBL423.mol2,CC(C)[NH2+]CC(O)COc1ccc(CCOCC2CC2)cc1
CHEMBL1095777.mol2,CCc1cc2c(cc1CC)CC([NH2+]CC(O)c1ccc([O-])c3[nH]c(=O)ccc13)C2
CHEMBL12674.mol2,O=S(=O)(CCc1ccccc1)[N-]c1ccc(CC[NH2+]CC(O)COc2ccc(O)cc2)cc1
CHEMBL295502.mol2,O=S(=O)(Nc1ccccc1)c1ccc2c(c1)CCN2c1noc(CCCC2CCCC2)n1
CHEMBL12769.mol2,O=S(=O)(Nc1ccc(CC[NH2+]CC(O)COc2ccc(O)cc2)cc1)c1cnc2ccccc2c1
CHEMBL447786.mol2,COc1ccc(C(CCc2ccccc2Cl)[NH2+]CC(O)Cc2ccc(O)c(NS(C)(=O)=O)c2)cc1OC
CHEMBL410702.mol2,O=[N+]([O-])[CH]C(=Nc1ccc2ccccc2c1)Nc1ccc(CC[NH2+]CC(O)c2cccnc2)cc1
CHEMBL1083670.mol2,CC(C)c1ccccc1OCC(O)C[NH2+]C1CCN(C)CC1
CHEMBL29141.mol2,C[NH2+]CC(O)c1ccc([O-])c2[nH]c(=O)sc12
CHEMBL163579.mol2,CCCCCCCCn1cnn(-c2ccc(S(=O)(=O)[N-]c3ccc(CC[NH2+]CC(O)c4cccnc4)cc3)cc2)c1=O
CHEMBL466088.mol2,CC(Cc1ccc(NC(=O)Cc2[nH+]ccn2Cc2ccccc2)cc1)[NH2+]CC(O)COc1ccccc1
CHEMBL345618.mol2,CC(CCCCNC(=O)OCc1ccccc1)[NH2+]CC(O)c1ccc(O)c(O)c1
CHEMBL1221635.mol2,O=c1[nH]c2c([O-])ccc(C(O)C[NH2+]C3CCCc4ccccc43)c2s1
