CHEMBL98975.mol2,OC(CNCCOc1ccc(-n2ccnc2)cc1)COc1ccccc1
CHEMBL13132.mol2,O=C(Nc1ccc(S(=O)(=O)[N-]c2ccc(CC[NH2+]CC(O)COc3ccc(O)cc3)cc2)cc1)OCc1ccccc1
CHEMBL423.mol2,CC(C)[NH2+]CC(O)COc1ccc(CCOCC2CC2)cc1
CHEMBL183948.mol2,O=CNc1cc(C(O)C[NH2+]CCc2cccc(OCCCOc3ccccc3)c2)ccc1O
CHEMBL12769.mol2,O=S(=O)(Nc1ccc(CC[NH2+]CC(O)COc2ccc(O)cc2)cc1)c1cnc2ccccc2c1
CHEMBL493489.mol2,O=CNc1cc(C(O)CNCCOCCOCCNc2ncnc3c2ncn3C2OC(CO)C(O)C2O)ccc1O
CHEMBL287947.mol2,O=S(=O)([N-]c1ccc(CC[NH2+]CC(O)c2cccnc2)cc1)c1ccc(-c2cnc(CCCC3CCCC3)o2)cc1
CHEMBL29141.mol2,C[NH2+]CC(O)c1ccc([O-])c2[nH]c(=O)sc12
CHEMBL1084772.mol2,O=C1c2cccc3cccc(c23)C(=O)N1CC1CC[NH+](CC(O)COc2cccc3[nH]c4ccccc4c23)CC1
CHEMBL163579.mol2,CCCCCCCCn1cnn(-c2ccc(S(=O)(=O)[N-]c3ccc(CC[NH2+]CC(O)c4cccnc4)cc3)cc2)c1=O
CHEMBL466088.mol2,CC(Cc1ccc(NC(=O)Cc2nccn2Cc2ccccc2)cc1)[NH2+]CC(O)COc1ccccc1
CHEMBL345618.mol2,CC(CCCCNC(=O)OCc1ccccc1)[NH2+]CC(O)c1ccc(O)c(O)c1
CHEMBL524037.mol2,O=CNc1cc(C(O)C[NH2+]CCCCCCNc2ncnc3c2ncn3C2OC(CO)C(O)C2O)ccc1O
CHEMBL1085270.mol2,CC(C)c1ccccc1OCC(O)C[NH+]1CCC(CN2C(=O)c3ccccc3C2=O)CC1
CHEMBL1203992.mol2,O=C(Nc1ccc(CC[NH2+]CC(O)COc2ccccc2)cc1)Oc1ccccc1
